"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 06 11:13:04 UTC 2026","Mon Apr 06 11:13:04 UTC 2026","353","Bookstore API Suite","Bookstore Tests","tests.BooksTest","tests.BooksTest","getBookById_shouldReturnValidBook","getBookById_shouldReturnValidBook","Verify that fetching a book by valid ID returns correct and valid book data"
"passed","Mon Apr 06 11:13:06 UTC 2026","Mon Apr 06 11:13:06 UTC 2026","334","Bookstore API Suite","Bookstore Tests","tests.BooksEdgeTest","tests.BooksEdgeTest","createBooks_emptyPayload","createBooks_emptyPayload","Verify that creating a book with an empty request body returns HTTP 400"
"passed","Mon Apr 06 11:13:05 UTC 2026","Mon Apr 06 11:13:06 UTC 2026","345","Bookstore API Suite","Bookstore Tests","tests.BooksEdgeTest","tests.BooksEdgeTest","createBooks_emptyFields","createBooks_emptyFields","Verify that creating a book with empty required fields returns HTTP 400"
"passed","Mon Apr 06 11:13:11 UTC 2026","Mon Apr 06 11:13:12 UTC 2026","331","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","updateAuthor_emptyFields","updateAuthor_emptyFields","Verify that updating an author with empty required fields returns HTTP 400"
"passed","Mon Apr 06 11:13:11 UTC 2026","Mon Apr 06 11:13:11 UTC 2026","321","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","getAuthorById_nonExistentID","getAuthorById_nonExistentID","Verify that requesting an author with a non-existent ID returns HTTP 404"
"passed","Mon Apr 06 11:13:11 UTC 2026","Mon Apr 06 11:13:11 UTC 2026","328","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","deleteAuthor_invalidPathParameter","deleteAuthor_invalidPathParameter","Verify that deleting an author with an invalid path parameter returns HTTP 400"
"passed","Mon Apr 06 11:13:01 UTC 2026","Mon Apr 06 11:13:03 UTC 2026","1876","Bookstore API Suite","Bookstore Tests","tests.BooksTest","tests.BooksTest","createBooks_shouldReturnValidResponse","createBooks_shouldReturnValidResponse","Verify that creating a book returns a valid response and matches with the request"
"passed","Mon Apr 06 11:13:10 UTC 2026","Mon Apr 06 11:13:10 UTC 2026","338","Bookstore API Suite","Bookstore Tests","tests.AuthorsTest","tests.AuthorsTest","updateAuthor_shouldReturnUpdatedData","updateAuthor_shouldReturnUpdatedData","Verify that updating an author modifies and returns the correct updated data"
"passed","Mon Apr 06 11:13:12 UTC 2026","Mon Apr 06 11:13:12 UTC 2026","312","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","updateAuthor_emptyPayload","updateAuthor_emptyPayload","Verify that updating an author with an empty payload returns HTTP 400"
"passed","Mon Apr 06 11:13:07 UTC 2026","Mon Apr 06 11:13:08 UTC 2026","322","Bookstore API Suite","Bookstore Tests","tests.BooksEdgeTest","tests.BooksEdgeTest","updateBook_emptyPayload","updateBook_emptyPayload","Verify that updating a book with an empty payload returns HTTP 400"
"passed","Mon Apr 06 11:13:08 UTC 2026","Mon Apr 06 11:13:08 UTC 2026","324","Bookstore API Suite","Bookstore Tests","tests.AuthorsTest","tests.AuthorsTest","createAuthor_shouldReturnValidResponse","createAuthor_shouldReturnValidResponse","Verify that creating an author returns a valid response and persisted data matches request"
"passed","Mon Apr 06 11:13:06 UTC 2026","Mon Apr 06 11:13:06 UTC 2026","318","Bookstore API Suite","Bookstore Tests","tests.BooksEdgeTest","tests.BooksEdgeTest","createBooks_invalidDataTypes","createBooks_invalidDataTypes","Verify that creating a book with invalid data types returns HTTP 400"
"passed","Mon Apr 06 11:13:03 UTC 2026","Mon Apr 06 11:13:04 UTC 2026","368","Bookstore API Suite","Bookstore Tests","tests.BooksTest","tests.BooksTest","deleteBook_shouldReturnSuccess","deleteBook_shouldReturnSuccess","Verify that deleting a book with a valid ID returns HTTP 200 success response"
"passed","Mon Apr 06 11:13:09 UTC 2026","Mon Apr 06 11:13:10 UTC 2026","649","Bookstore API Suite","Bookstore Tests","tests.AuthorsTest","tests.AuthorsTest","getBooks_shouldReturnNonEmptyList","getBooks_shouldReturnNonEmptyList","Verify that fetching all authors returns a non-empty list with valid author data"
"passed","Mon Apr 06 11:13:07 UTC 2026","Mon Apr 06 11:13:07 UTC 2026","323","Bookstore API Suite","Bookstore Tests","tests.BooksEdgeTest","tests.BooksEdgeTest","updateBook_emptyFields","updateBook_emptyFields","Verify that updating a book with empty required fields returns HTTP 400"
"passed","Mon Apr 06 11:13:12 UTC 2026","Mon Apr 06 11:13:12 UTC 2026","329","Bookstore API Suite","Bookstore Tests","tests.AuthorsEdgeTest","tests.AuthorsEdgeTest","updateAuthor_invalidDataTypes","updateAuthor_invalidDataTypes","Verify that updating an author with invalid data types returns HTTP 400"
